label,unique,missing,real-numbers,integers,len-max,len-min,len-median,len-mean,unique-char-mean,unique-char-max,unique-char-min,unique-punc-mean,unique-digits-mean,unique-hexdigits-mean,max,min,mean,median,std,var,mad,sem,skew,kurtosis,mode
Conversation ID,1.0,0.0,1.0,1.0,15,15,15.0,15.0,7.6419232391396035,10,6,0.0,7.6419232391396035,7.6419232391396035,134801500520862,134801500048410,134801500500326.73,134801500495543.0,22926.89618626968,525642568.73598725,12473.159050769718,470.84665288599695,-12.681683779200812,234.03564788063088,"0       134801500048410
1       134801500049523
2       134801500070838
3       134801500077469
4       134801500249348
             ...       
2366    134801500520730
2367    134801500520827
2368    134801500520828
2369    134801500520859
2370    134801500520862
Length: 2371, dtype: int64"
Conversation URL,1.0,0.0,0.0,0.0,81,81,81.0,81.0,28.641923239139604,31,27,3.0,7.6419232391396035,12.641923239139604,https://app.intercom.com/a/apps/jby5aft8/inbox/inbox/conversation/134801500520862,https://app.intercom.com/a/apps/jby5aft8/inbox/inbox/conversation/134801500048410,,,,,,,,,
Title,0.2328131590046394,0.7250105440742303,0.0,0.0,116,5,36.0,38.83895705521472,20.538343558282207,35,4,2.223926380368098,0.25153374233128833,5.190184049079755,,,,,,,,,,,
Conversation status,0.0008435259384226065,0.0,0.0,0.0,6,4,6.0,5.9983129481231545,5.9983129481231545,6,4,0.0,0.0,2.998312948123155,Open,Closed,,,,,,,,,
Conversation tags,0.029523407844791228,0.6170392239561366,0.0,0.0,82,3,9.0,12.840308370044053,9.89977973568282,31,3,0.2026431718061674,0.05506607929515418,3.0814977973568283,,,,,,,,,,,
Created at,0.9995782370307887,0.0,0.0,0.0,19,19,19.0,19.0,9.183045128637705,13,6,2.0,6.183045128637706,6.183045128637706,2022-06-12 23:17:41,2021-12-29 11:20:27,,,,,,,,,
Last updated at,0.9877688738928722,0.0,0.0,0.0,19,19,19.0,19.0,9.23956136651202,12,6,2.0,6.23956136651202,6.23956136651202,2022-06-14 08:50:47,2022-01-02 23:31:31,,,,,,,,,
Last closed at,0.9978911851539435,0.000843525938422629,0.0,0.0,19,19,19.0,19.0,9.255804136766567,13,6,2.0,6.255804136766568,6.255804136766568,,,,,,,,,,,
Time Zone,0.00042176296921130323,0.0,0.0,0.0,26,26,26.0,26.0,18.0,18,18,3.0,0.0,5.0,Eastern Time (US & Canada),Eastern Time (US & Canada),,,,,,,,,
Inbound/Outbound,0.0008435259384226065,0.0,0.0,0.0,8,7,7.0,7.0746520455504,6.0746520455504,7,6,0.0,0.0,2.0,Outbound,Inbound,,,,,,,,,
Reopened,0.0025305778152678194,0.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,0.0,1.0,1.0,5,0,0.20413327709827078,0.0,0.5273928766723545,0.2781432463647413,0.3431780862563084,0.010830998174354213,3.213166365085662,13.080906916632534,"0    0
dtype: int64"
Closed,0.0029523407844791226,0.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,0.0,1.0,1.0,6,0,1.2049768030366934,1.0,0.531053118881236,0.28201741507348815,0.34576451964826643,0.01090616808740315,3.1822457866764755,12.92013493295394,"0    1
dtype: int64"
Conversation rating,0.0025305778152678194,0.8207507380851962,0.1792492619148039,0.0,3,3,3.0,3.0,3.0,3,3,1.0,2.0,2.0,5.0,1.0,4.477647058823529,5.0,0.8355848238091955,0.6982019977802443,0.6563211072664361,0.04053181750268748,-2.0370321093867987,4.750555001580116,"0    5.0
dtype: float64"
Conversation rating requested,0.0008435259384226065,0.0,0.0,0.0,3,2,3.0,2.5250948966680724,2.5250948966680724,3,2,0.0,0.0,0.5250948966680725,yes,no,,,,,,,,,
Conversation rating remark,0.060312104597216365,0.938844369464361,0.0,0.0,609,3,46.0,67.69655172413793,19.96551724137931,36,3,1.3310344827586207,0.06206896551724138,4.503448275862069,,,,,,,,,,,
Conversation topics,0.4905103331927457,0.14086883171657527,0.0,0.0,469,4,80.0,95.64457535591556,22.38046146293569,40,4,1.8929798723613156,0.15905743740795286,6.335297005400098,,,,,,,,,,,
Companies (ID),0.39645719105862504,0.07633909742724587,0.6689160691691269,0.6689160691691269,84,1,5.0,10.608675799086758,5.5337899543379,29,1,0.2776255707762557,4.747031963470319,5.004566210045662,,,,,,,,,,,
Companies (name),0.3943483762125685,0.07465204555040073,0.0,0.0,264,2,29.0,43.309936189608024,17.29307201458523,47,2,0.601640838650866,0.1814038286235187,4.995442114858705,,,,,,,,,,,
Company tags,0.0012652889076339097,0.9270350063264445,0.0,0.0,23,16,23.0,22.67630057803468,14.907514450867051,15,13,0.046242774566473986,2.861271676300578,5.861271676300578,,,,,,,,,,,
Email,0.4808097849008857,0.045972163644032005,0.0,0.0,44,9,22.0,23.25287356321839,14.748010610079575,24,6,2.0826702033598585,0.14942528735632185,3.8598585322723253,,,,,,,,,,,
Location,0.28215942640236186,0.07929143821172502,0.0,0.0,36,6,23.0,22.697205680256527,14.469079248740266,20,4,0.9606046724690792,0.0,3.6930829134218963,,,,,,,,,,,
Name,0.47026571067060313,0.05609447490510333,0.0,0.0,38,4,13.0,13.869973190348526,10.907059874888294,21,4,0.11394101876675604,0.03261840929401251,2.902591599642538,,,,,,,,,,,
Type,0.0008435259384226065,0.0,0.0,0.0,4,4,4.0,4.0,4.0,4,4,0.0,0.0,1.2311261071277941,User,Lead,,,,,,,,,
Participated (ID),0.2737241670181358,0.4858709405314213,0.2631800927878532,0.2631800927878532,116,2,6.0,15.189499589827728,7.8293683347005745,19,2,0.6045939294503692,5.498769483182937,6.8876127973748975,,,,,,,,,,,
Participated (name),0.559257697174188,0.05145508224377904,0.0,0.0,85,4,14.0,17.497999110715874,12.254335260115607,32,4,0.33570475767007557,0.03334815473543797,3.084926634059582,,,,,,,,,,,
Participated (email),0.5706452973428933,0.045972163644032005,0.0,0.0,162,9,25.0,30.716180371352785,16.082670203359857,28,7,2.2745358090185674,0.16489832007073385,4.04420866489832,,,,,,,,,,,
People tags,0.037115141290594685,0.6621678616617461,0.0,0.0,640,5,67.0,68.50312109862672,26.40449438202247,51,5,2.5205992509363297,4.300873907615481,9.455680399500624,,,,,,,,,,,
User ID,0.2062420919443273,0.5630535638970898,0.32138338253901305,0.32138338253901305,36,2,6.0,13.45945945945946,7.140926640926641,17,2,0.2644787644787645,5.425675675675675,6.876447876447877,,,,,,,,,,,
Assigned to (ID),0.007591733445803458,0.0,1.0,1.0,7,7,7.0,7.0,4.991986503584985,6,3,0.0,4.991986503584985,4.991986503584985,5510359,3237656,4618963.500210881,4969811.0,648310.8959650632,420307017827.0231,502816.02418048406,13314.275640044163,-1.3632534679366621,0.3419019142951445,"0    4969811
dtype: int64"
Assigned to (name),0.007169970476592155,0.0,0.0,0.0,20,5,7.0,8.984816533108393,7.4614086883171655,15,5,0.005482918599746942,0.13707296499367355,1.2214255588359342,Zach Tsuleff,Amiksha Patel,,,,,,,,,
Team assigned to (ID),0.0025305778152678194,0.18177983973007172,0.8182201602699283,0.0,9,9,9.0,9.0,6.898969072164949,7,5,1.0,5.898969072164949,5.898969072164949,5510359.0,3600046.0,4830961.072680413,4969811.0,324469.4959395394,105280453795.25876,217563.95651185012,7366.700425033941,-2.8258477762480614,7.725187149198815,"0    4969811.0
dtype: float64"
Team assigned to (name),0.0025305778152678194,0.18177983973007172,0.0,0.0,16,5,7.0,8.617525773195876,7.085567010309278,11,5,0.0,0.16752577319587628,0.48762886597938143,,,,,,,,,,,
Closed by (ID),0.005061155630535639,0.000843525938422629,0.9991564740615774,0.0,9,9,9.0,9.0,6.7467285774588435,8,5,1.0,5.7467285774588435,5.7467285774588435,5493927.0,3237656.0,4810812.021528071,5139259.0,748417.020639985,560128036783.6317,600276.4153975626,15376.62862276035,-1.3317016944634927,0.25910155544455105,"0    5139259.0
dtype: float64"
Closed by (name),0.004639392661324336,0.000843525938422629,0.0,0.0,17,9,15.0,13.264668636555509,9.431405656395103,13,8,0.019839594765723934,0.0,3.26424651751794,,,,,,,,,,,
Teammates participated,0.04217629692113033,0.27498945592576973,0.0,0.0,62,9,15.0,19.862710878417683,11.477021524141943,30,8,0.3531122745782432,0.0,3.39499709133217,,,,,,,,,,,
Time to first reply (seconds),0.4323070434415858,0.28300295234078443,0.7169970476592156,0.0,9,4,5.0,5.3876470588235295,4.720588235294118,8,3,1.0,3.7205882352941178,3.7205882352941178,1212301.0,14.0,13911.291764705882,370.0,57148.14551425302,3265910535.7182374,22778.32115155709,1386.0461191966663,10.34172016916036,165.94888207215425,"0    117.0
1    234.0
dtype: float64"
Time to last close (seconds),0.8566005904681568,0.000843525938422629,0.9991564740615774,0.0,9,4,6.0,6.478260869565218,5.3752638243984805,9,3,1.0,4.3752638243984805,4.3752638243984805,8883371.0,33.0,195632.56141831997,6527.0,547531.2637728452,299790484808.6889,272744.5429576949,11249.323131622901,5.835540879163679,49.63995776889307,"0    184.0
dtype: float64"
